Source,Target,Weight,Type
101,29,2017960.0,directed
69,29,2894997.0,directed
147,29,16760419.0,directed
112,29,56397.0,directed
103,29,140602.0,directed
138,29,21059.0,directed
22,29,5530.0,directed
27,29,59780.0,directed
24,29,18074961.0,directed
114,29,1014381.0,directed
38,29,58819852.0,directed
142,29,290634.0,directed
64,29,6837329.0,directed
29,29,25973039.0,directed
53,29,196793565.0,directed
62,29,1693.0,directed
76,29,378033796.0,directed
71,29,868326391.0,directed
145,29,9612.0,directed
29,113,368786.0,directed
29,130,16057.0,directed
29,38,17848620.0,directed
29,14,1172476.0,directed
29,64,4621181.0,directed
29,150,1228171014.0,directed
29,84,171930.0,directed
29,146,814992.0,directed
29,96,75884.0,directed
29,11,3270.0,directed
29,24,193949592.0,directed
29,28,2669.0,directed
29,108,39469.0,directed
29,20,36213.0,directed
29,142,51607660.0,directed
29,138,1854842.0,directed
29,135,595226.0,directed
29,69,22924385.0,directed
29,101,2279172.0,directed
29,86,164842.0,directed
29,68,13910853.0,directed
29,123,85080.0,directed
29,49,19949.0,directed
29,67,2128795.0,directed
29,62,77296.0,directed
29,15,2228813.0,directed
29,80,33864.0,directed
29,139,539.0,directed
29,115,212.0,directed
29,46,394.0,directed
29,114,1053.0,directed
29,99,412.0,directed
29,120,2388.0,directed
29,100,13753.0,directed
29,9,58212469.0,directed
29,39,1146205.0,directed
29,125,5501.0,directed
29,79,52714115.0,directed
29,12,5456.0,directed
29,109,51818.0,directed
29,56,13594.0,directed
29,149,5664.0,directed
29,111,42776.0,directed
29,133,23931.0,directed
29,147,10123267.0,directed
29,53,121453790.0,directed
29,26,784402.0,directed
29,128,182739644.0,directed
29,112,48664030.0,directed
29,117,34826211.0,directed
29,8,1901364.0,directed
29,22,4435.0,directed
29,61,17492993.0,directed
29,90,999144024.0,directed
29,140,1298446546.0,directed
145,26,11545.966,directed
101,26,13464.615,directed
76,26,55359.302,directed
15,26,131857.812,directed
71,26,315430.234,directed
53,26,274562.283,directed
71,26,23925.323,directed
145,26,11300.024,directed
90,26,877046.016,directed
26,53,14275.781,directed
26,123,771933.718,directed
90,26,1438454.377,directed
26,69,1061.553,directed
67,26,99.266,directed
67,26,99.266,directed
29,76,729189351.0,directed
29,71,257995396.0,directed
29,151,1000.0,directed
29,77,2838.0,directed
29,74,7757.0,directed
29,72,130.0,directed
29,65,150.0,directed
29,145,5.0,directed
29,30,5.0,directed
29,103,22.0,directed
29,129,8040.0,directed
29,45,750.0,directed
29,116,2393.0,directed
29,107,3225.0,directed
29,6,2020.0,directed
53,37,289.78,directed
53,37,289.78,directed
53,37,289.78,directed
53,37,289.78,directed
53,37,289.78,directed
53,37,289.78,directed
53,37,289.78,directed
53,37,289.78,directed
35,37,681.199,directed
135,37,13460.713,directed
35,37,1778.687,directed
35,37,681.199,directed
35,37,1778.687,directed
135,37,13460.713,directed
35,37,681.199,directed
135,37,13460.713,directed
35,37,1778.687,directed
135,37,13460.713,directed
35,37,681.199,directed
35,37,1778.687,directed
35,37,681.199,directed
35,37,681.199,directed
135,37,13460.713,directed
35,37,1778.687,directed
135,37,13460.713,directed
35,37,1778.687,directed
35,37,2459.886,directed
135,37,13460.713,directed
135,37,13460.713,directed
35,37,2459.886,directed
76,26,55359.302,directed
147,26,254009.781,directed
29,26,270149.392,directed
14,26,2352.011,directed
133,26,973.399,directed
26,29,65456.281,directed
26,142,8148.7,directed
26,135,3529.868,directed
67,26,99.266,directed
96,26,34.817,directed
67,26,99.266,directed
112,26,11.112,directed
147,26,2.222,directed
112,26,0.741,directed
136,91,576.107,directed
136,126,653.332,directed
67,26,99.266,directed
96,26,34.817,directed
145,26,245.943,directed
68,26,0.741,directed
71,39,1066326.389,directed
8,39,69529.268,directed
84,39,12506.055,directed
29,39,1353547.193,directed
147,39,106855.551,directed
101,39,109478.596,directed
136,39,876.09,directed
49,39,65037.928,directed
138,39,8207.321,directed
76,39,9856.448,directed
90,39,3068.928,directed
113,39,157.481,directed
9,35,327.0,directed
130,35,5151.0,directed
53,35,29528.0,directed
39,29,311710.974,directed
39,142,101645.602,directed
39,71,124917.869,directed
39,123,81637.628,directed
39,63,17095.657,directed
39,49,561594.174,directed
39,147,1168297.695,directed
39,54,8958.151,directed
39,26,55408.05,directed
39,53,8894891.845,directed
39,138,2478171.742,directed
39,101,104973.612,directed
39,76,27754.753,directed
39,69,75751.743,directed
39,8,15276.566,directed
39,57,1578.007,directed
39,136,3306.964,directed
39,135,16178.492,directed
39,15,35688.912,directed
39,9,2836.407,directed
39,114,2568.761,directed
136,133,588.861,directed
136,54,675.547,directed
136,146,285.916,directed
136,54,675.547,directed
136,133,588.861,directed
136,126,653.332,directed
136,91,576.107,directed
136,146,285.916,directed
76,136,0.45,directed
61,136,46.191,directed
69,136,25.614,directed
128,136,6.159,directed
146,136,21.556,directed
29,136,149.336,directed
76,136,0.45,directed
61,136,46.191,directed
69,136,25.614,directed
128,136,6.159,directed
146,136,21.556,directed
29,136,149.336,directed
38,129,55292.0,directed
38,135,509.0,directed
38,62,12712.0,directed
38,135,509.0,directed
38,101,3428.0,directed
38,15,490564.0,directed
90,38,1148022.0,directed
101,38,237.0,directed
90,38,1876463.0,directed
80,38,2087.0,directed
142,39,967.531,directed
14,39,1094.967,directed
38,39,5.661,directed
135,39,261.695,directed
145,39,362.28,directed
20,39,0.145,directed
53,39,479262.902,directed
15,39,1779.177,directed
69,39,234255.82,directed
53,38,13131.0,directed
53,38,13131.0,directed
76,38,1254521.0,directed
101,38,237.0,directed
15,38,465383.0,directed
38,62,12712.0,directed
38,138,3.0,directed
38,39,5.0,directed
38,53,32.0,directed
38,114,10.0,directed
38,113,1372.0,directed
38,69,1014.0,directed
38,76,544675.0,directed
38,114,10.0,directed
38,138,3.0,directed
38,15,24.0,directed
90,24,5931001.44,directed
112,24,29.3,directed
24,29,847560.0,directed
29,24,719310459.91,directed
38,62,12712.0,directed
38,53,32.0,directed
38,69,90.0,directed
38,114,10.0,directed
38,138,3.0,directed
38,9,575256.0,directed
38,101,20443.0,directed
38,45,670.0,directed
38,114,10.0,directed
38,9,575222.0,directed
101,38,172501.0,directed
29,38,1699.0,directed
138,38,4012.0,directed
101,38,171013.0,directed
15,38,465383.0,directed
38,15,490564.0,directed
38,101,3428.0,directed
38,69,924.0,directed
38,90,5274880.0,directed
38,96,85676.0,directed
29,38,3182.0,directed
29,38,441.0,directed
128,38,1916.0,directed
128,38,1916.0,directed
128,38,1916.0,directed
71,38,857204.0,directed
71,38,15653.0,directed
53,38,48440.0,directed
76,38,259260.0,directed
71,38,9277.0,directed
53,38,48440.0,directed
71,38,2185013.0,directed
76,38,259260.0,directed
68,38,207.0,directed
103,38,3221.0,directed
145,38,1760.0,directed
69,38,2587.0,directed
145,38,1760.0,directed
112,38,9761.0,directed
69,38,2587.0,directed
38,129,55292.0,directed
38,9,575222.0,directed
38,53,1658715.0,directed
38,101,17010.0,directed
38,96,85676.0,directed
62,38,815.0,directed
68,38,207.0,directed
68,38,207.0,directed
69,38,2587.0,directed
29,38,2798.0,directed
101,38,1488.0,directed
145,38,1760.0,directed
128,38,1916.0,directed
29,38,23.0,directed
29,38,47.0,directed
39,146,1161.153,directed
39,140,5225.189,directed
147,38,30294.0,directed
71,38,59952.0,directed
71,38,10427.0,directed
135,38,1831.0,directed
135,38,892.0,directed
71,38,874007.0,directed
53,38,322328.0,directed
71,38,1150.0,directed
135,38,865.0,directed
147,38,30294.0,directed
29,38,2363.0,directed
29,38,6596332.0,directed
38,113,1358.0,directed
38,53,1104.0,directed
38,39,5.0,directed
38,39,5.0,directed
38,101,20443.0,directed
